CUSTOMERID;TENURE;CONTRACT;MONTHLYCHARGES;INTERNETSERVICE;TECHSUPPORT;ONLINESECURITY;ONLINEBACKUP;PAYMENTMETHOD;PAPERLESSBILLING;SENIORCITIZEN;PARTNER;DEPENDENTS;SCORE_RISQUE;SEGMENT_STRATEGIQUE
3774-VBNXY;64;Two year;20,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7601-GNDYK;35;Two year;19,6;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5845-BZZIB;35;Two year;20,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1248-DYXUB;52;Two year;24,8;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
1106-HRLKZ;40;Two year;19,6;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
7969-FFOWG;65;Two year;19,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
0831-JNISG;71;Two year;19,8;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8711-LOBKY;59;Two year;19,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4367-NUYAO;0;Two year;25,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
0386-CWRGM;46;Two year;19,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
4652-ODEVH;45;Two year;24,45;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2808-CHTDM;23;Two year;25,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3279-DYZQM;71;Two year;19,45;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5346-BZCHP;69;Two year;19,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
3373-DIUUN;30;Two year;21,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5793-YOLJN;55;Two year;21;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
9565-AXSMR;52;Two year;19,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
8532-UEFWH;52;Two year;25,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5242-UOWHD;45;Two year;20,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6770-UAYGJ;49;Two year;25,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
6619-RPLQZ;45;Two year;20,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
5968-HYJRZ;47;Two year;24,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
2230-XTUWL;48;Two year;19,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;Yes;0;Surveillance Relationnelle
